name,popularity,play_count,revenue_for_plays
Walkin' Blues,25,751135,3332.79
Traveling Riverside Blues - Alternate Take,25,1411876,6264.49
Young Woman's Blues,24,160112,710.42
Your Feet's Too Big,24,854932,3793.33
In a Mist,24,289879,1286.19
Jesus Make Up My Dying Bed,24,733070,3252.63
Ghost of Yesterday,24,209397,929.09
Song of India,23,62287,276.37
Wild Man Blues,23,89494,397.08
Basin Street Blues,23,620108,2751.42
Hotter Than That,23,437991,1943.37
Sleigh Ride (with Paula Kelly),23,687330,3049.68
St. Louis Blues (with Louis Armstrong),22,1062764,4715.48
Me and My Gin,22,123454,547.77
Baby Won't You Please Come Home,22,210437,933.71
Careless Love,22,425190,1886.57
St. Louis Blues,22,245833,1090.76
Functionizin',21,423212,1877.79
Potato Head Blues,21,736995,3270.05
Wolverine Blues - 1990 Remastered - Take 1,21,151099,670.43
Muggles,21,269926,1197.66
God Moves On the Water,21,381568,1693.02
Snake Rag,20,156537,694.55
Backwater Blues,20,496351,2202.31
"Come Back, Sweet Papa",20,378651,1680.07
Star Dust,20,388603,1724.23
Someone to Watch Over Me - Live,20,563104,2498.49
"Jingle Bells (feat. Tex Beneke, The Modernaires & Ernie Caceres)",19,81292,360.69
Twenty-Four Hours a Day (feat. Billie Holiday) - Take 1,19,336771,1494.25
Let's Call a Heart a Heart,19,120878,536.34
"What a Night, What a Moon, What a Girl (with Teddy Wilson & His Orchestra)",19,222859,988.83
Sugar (with Teddy Wilson & His Orchestra),19,404204,1793.45
Down Hearted Blues,18,784318,3480.02
Rose Room (feat. Benny Goodman & Charlie Christian),18,508909,2258.03
Keep Your Lamp Trimmed And Burning,18,234683,1041.29
"Church, I'm Fully Saved Today",18,137310,609.24
La Chambelona,18,35568,157.82
Gimme a Pigfoot and a Bottle of Beer,17,663326,2943.18
Horses - Take 2,17,93337,414.14
There Ain't No Land Like Dixieland to Me (feat. Bix Beiderbecke & Frank Trumbauer),17,30262,134.27
Riverboat Shuffle (feat. Bix Beiderbecke),17,81476,361.51
Way Down Yonder In New Orleans (feat. Bix Beiderbecke),17,384342,1705.33
All That Meat And No Potatoes,16,454703,2017.52
California Blues,16,86564,384.08
Memories Of You (feat. Charlie Christian),16,172227,764.17
Mother's Children Have a Hard Time,16,230693,1023.58
Bye and Bye I'm Goin' to See the King,16,230822,1024.16
The Glow Worm,15,173445,769.58
Your Love Is Like a Flower,15,97453,432.40
The Last Time I Saw Paris,15,39176,173.82
The Duke,15,3491950,15493.78
Candlelight on Crystal,15,185770,824.26
From Four Until Late,14,22500361,99834.10
Sleigh Ride (with Paula Kelly),14,687330,3049.68
Hellhound on My Trail,14,665442,2952.57
"Single Girl, Married Girl",14,278117,1234.01
Somebody Stole My Gal - Instrumental,14,54392,241.34
Carolina In the Morning,13,916959,4068.55
Cast Your Fate To The Wind,13,808852,3588.88
I Ain't Marching Anymore - Alternate Version,13,46630,206.90
Any Time You Want Love - 2019 - Remaster,13,18353,81.43
Ami Chini Go Chini Tomare,13,8618,38.24
Crepuscule With Nellie (Takes 4 & 5),12,149611,663.82
Springsville - Mono Version,12,144397,640.69
Ysabel's Table Dance - 1957/62 Master Takes,12,114439,507.77
Sauerkraut Calypso,12,40368,179.11
The Maids of Cadiz - Mono Version,12,40368,179.11
Rosa Engeitada,11,117999,523.56
My Fair Lady: I'm an Ordinary Man,11,113468,503.46
A Lovely Way To Spend An Evening,11,96333,427.43
Gidget Goes Hawaiian,11,58451,259.35
Don't Take Your Love From Me - 2002 Remaster,11,55538,246.42
The Night They Invented Champagne,11,34869,154.71
White Christmas Medley: Winter Wonderland/Silver Bells/White Christmas,11,33244,147.50
Ride On King Jesus,11,29829,132.35
Molly and Tenbrooks (The Race Horse Song),10,115129,510.83
Cherry Pies Ought to Be You (with Rosemary Clooney),10,88557,392.93
Easy to Love / I've Got You Under My Skin,10,68997,306.14
In a Little Spanish Town,10,38198,169.48
It's a Sin to Tell a Lie (with Teddy Wilson & His Orchestra) - Take 3,10,33940,150.59
I've Got The Sun In The Morning,10,26392,117.10
Pal Bhar Mein Yeh Kya Ho Gaya,10,25651,113.81
Ana Fe Entezarak,10,13106,58.15
Robaaeyat El Khayam,10,10818,48.00
Step Lightly (Junior's Arrival),9,246735,1094.76
"Goldberg Variations, BWV 988: Variation 13 a 2 Clav. - 1955 Version",9,151134,670.58
I've Grown Accustomed to Her Face - Mono Version,9,87742,389.31
Tiny's Tempo - Short Take 1 / Short Take 2,9,32212,142.92
"My Old Flame - Live At Masonic Temple, Ann Arbor, MI.,1954",9,20204,89.65
Davenport Blues - 2014 Remastered Version,9,15379,68.24
The Shining Birch Tree,9,12317,54.65
Loveless Love (with Benny Carter & His All Star Orchestra) - Take 2,8,110873,491.94
Breakfast Feud (feat. Benny Goodman & Charlie Christian),8,88492,392.64
On the Alamo (feat. Benny Goodman & Charlie Christian),8,48934,217.12
Come Back To Me In My Dreams,8,24525,108.82
Siberian Sleighride,8,18120,80.40
"Who Do You Love, I Hope?",8,16530,73.34
I Got It Bad (and That Ain't Good) - 1995 Remastered,7,142431,631.97
Poor Howard / Green Corn,7,59204,262.69
You're so Desirable (with Teddy Wilson & His Orchestra) - Take 1,7,53494,237.35
Boy Scout In Switzerland,7,22365,99.23
Bumpy Weather Over Newark,7,20068,89.04
Squaty Roo - Remastered - 1995,7,18144,80.50
Indiferencia (Con Alberto Echague),7,16404,72.78
War Dance For Wooden Indians,7,15246,67.65
Fashion Plate Daddy,7,14978,66.46
Kill-It-Kid Rag,7,4911,21.79
Kapitel 1 - Der Page und die Herzogin,7,3276,14.54
Sugar Foot Strut,7,3191,14.16
Se lipame,7,3076,13.65
Winter Weather - Mono Recording,6,3313098,14700.22
Gut Bucket Blues,6,305562,1355.78
How Deep Is the Ocean?,6,246863,1095.33
Oriental Strut,6,98812,438.43
Cornet Chop Suey,6,62706,278.23
Barrelhouse Bessie From Basin Street,6,37671,167.15
Wake Up Jacob - 2020 Remaster,6,16993,75.40
'Buked and Scorned,5,30466,135.18
Gaston's House,5,21872,97.05
Concerto To End All Concertos,5,12709,56.39
Johnny's Gone To Hilo,5,9409,41.75
Wheatleigh Hall,5,8667,38.46
"Navajo: Night Chant, Yeibichei",5,2556,11.34
Luna Sobre el Condado,5,1652,7.33
"Can't Get Out of This Mood - From the Film ""Seven Days Leave""",4,296440,1315.30
Everything Happens for the Best,4,125056,554.87
Ciribiribin (They're So In Love),4,115238,511.31
Bad Luck Blues,4,69052,306.38
You're Gonna See a Lot of Me (with Teddy Wilson & His Orchestra) - Take 1,4,44103,195.69
It's a Sin to Tell a Lie (with Teddy Wilson & His Orchestra) - Take 1,4,33940,150.59
Lonely Melody,3,10814,47.98
Danny Boy,3,10308,45.74
Sugar,3,6451,28.62
Dust,3,3742,16.60
Goin' Home,2,6902,30.62
Every Night About This Time,2,6767,30.03
Our Love Affair,2,6001,26.63
When Irish Eyes Are Smiling,2,5559,24.67
Oh! Look At Me Now,2,5280,23.43
Rhumboogie,2,4734,21.00
Chizzlin' Sam,2,1901,8.43
Gati Hendrakusuma,2,1000,4.44
Tedhak Saking,2,1000,4.44
Gati Mares,2,1000,4.44
O Marenariello,1,8807,39.08
Lonesome Shack,1,5176,22.97
Back In Your Own Backyard,1,4809,21.34
Lovable,1,4441,19.70
Red Hot Chicago,1,4419,19.61
When,1,3887,17.25
My Pet,1,3881,17.22
Button Up Your Overcoat,1,2816,12.49
Hottentot Potentate - Live,1,2811,12.47
The Pearls,1,2532,11.23
Love Come And Go,1,2146,9.52
Where The River Shannon Flows,1,1865,8.28
Molly Brannigan,1,1697,7.53
Honey In The Honeycomb,1,1405,6.23
Shake Your Ashes - Live,1,1397,6.20
Gati Main-main,1,1000,4.44
Une Femme Qui Passe,1,1000,4.44
Gati Kumencar,1,1000,4.44
Lazy Daddy,1,1000,4.44
Cheer Up and Smile,1,1000,4.44
Jodi Bolo,0,54080,239.95
"Nacchite Ye Panaina (From ""Dohchay"")",0,12344,54.77
Rapsodie espagnole: PrÃ©lude Ã  la nuit,0,11656,51.72
JacÃ´k - Mountain Dancde,0,1481,6.57
Sur une Ride du Soleil,0,1075,4.77
Sunburst Rag,0,1000,4.44
Tomar Bhuban Hote,0,1000,4.44
At the Zoo: Lion,0,1000,4.44
"Bruch: Violin Concerto No. 1 in G Minor, Op. 26: II. Adagio",0,1000,4.44
Mercedes,0,1000,4.44
Perry's Victory On Lake Erie,0,1000,4.44
Easter Hymn,0,1000,4.44
