name,popularity,play_count,spotify_revenue,apple_revenue
Your Feet's Too Big,24,854932,3793.33,6283.75
In a Mist,24,289879,1286.19,2130.61
Jesus Make Up My Dying Bed,24,733070,3252.63,5388.06
Ghost of Yesterday,24,209397,929.09,1539.07
Song of India,23,62287,276.37,457.81
Wild Man Blues,23,89494,397.08,657.78
Basin Street Blues,23,620108,2751.42,4557.79
Hotter Than That,23,437991,1943.37,3219.23
Sleigh Ride (with Paula Kelly),23,687330,3049.68,5051.88
St. Louis Blues (with Louis Armstrong),22,1062764,4715.48,7811.32
Me and My Gin,22,123454,547.77,907.39
Baby Won't You Please Come Home,22,210437,933.71,1546.71
Careless Love,22,425190,1886.57,3125.15
St. Louis Blues,22,245833,1090.76,1806.87
Functionizin',21,423212,1877.79,3110.61
Potato Head Blues,21,736995,3270.05,5416.91
Wolverine Blues - 1990 Remastered - Take 1,21,151099,670.43,1110.58
Muggles,21,269926,1197.66,1983.96
God Moves On the Water,21,381568,1693.02,2804.52
Snake Rag,20,156537,694.55,1150.55
Backwater Blues,20,496351,2202.31,3648.18
"Come Back, Sweet Papa",20,378651,1680.07,2783.08
Star Dust,20,388603,1724.23,2856.23
Someone to Watch Over Me - Live,20,563104,2498.49,4138.81
"Jingle Bells (feat. Tex Beneke, The Modernaires & Ernie Caceres)",19,81292,360.69,597.50
Twenty-Four Hours a Day (feat. Billie Holiday) - Take 1,19,336771,1494.25,2475.27
Let's Call a Heart a Heart,19,120878,536.34,888.45
"What a Night, What a Moon, What a Girl (with Teddy Wilson & His Orchestra)",19,222859,988.83,1638.01
Sugar (with Teddy Wilson & His Orchestra),19,404204,1793.45,2970.90
Down Hearted Blues,18,784318,3480.02,5764.74
Rose Room (feat. Benny Goodman & Charlie Christian),18,508909,2258.03,3740.48
Keep Your Lamp Trimmed And Burning,18,234683,1041.29,1724.92
"Church, I'm Fully Saved Today",18,137310,609.24,1009.23
La Chambelona,18,35568,157.82,261.42
